制造商,生产年限,类型,名称,大类,有效射程,数量,_id,图片,产国,全枪重,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
图拉兵工厂,1993年-,狙击枪,AS狙击步枪,枪械与单兵,300米,NULL,{'$oid': '5cc9323c831b973d657f19f1'},http://images.huanqiu.com/sarons/2013/08/8d25563d8db061f3debf8865553c79e9.jpg,苏/俄,2.5千克,NULL,两次车臣战争达吉斯坦冲突别斯兰人质危机2008年南奥塞梯战争,"
这款俄罗斯生产的微声狙击步枪有两种型号：AS和VSS，其中AS更常见，因为它是为特种部队研制的一款微声狙击步枪。VSS与AS类似，供秘密军事组织和警察部队使用，因此可拆卸并装入普通公文包中。
",自动枪支,9毫米,20发,875毫米
沙科有限公司,1992年,狙击枪,沙科TRG狙击步枪,枪械与单兵,800米,NULL,{'$oid': '5cc9323d831b973d657f19f2'},http://images.huanqiu.com/sarons/2013/08/04623606f2eb986951d4ee2e9722ac94.jpg,芬兰,4.7千克,NULL,NULL,"
TRG是一款专用狙击步枪，机匣由锻造钢制成，重型枪管也经过冷轧处理，并装配消焰器和制退器。枪机和枪管安装在铝制机匣上，后者与合成材料制成的枪托和下护手相连。制退器可更换为消声器。枪托可根据射击者左右手习惯进行调整。TRG21的口径为7.62毫米；而TRG41发射0.308英寸拉普阿马格努姆枪弹，其枪管长690毫米，弹匣容弹量为5发。
",NULL,7.62毫米,10发,1150毫米
NULL,1985年-1989年,狙击枪,托卡M65-A308狙击步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9323d831b973d657f19f3'},http://images.huanqiu.com/sarons/2013/08/261f9f3f63f43a43a32265770ca7ee39.jpg,芬兰,5.2千克,NULL,NULL,NULL,NULL,7.62毫米,10发,1210毫米
法国PGM精密仪器公司,1988年,狙击枪,PG M赫式忒Ⅱ步枪,枪械与单兵,1800米,NULL,{'$oid': '5cc9323d831b973d657f19f4'},http://images.huanqiu.com/sarons/2013/08/938e2f41eaa5c875f8cf0b3b31c53892.jpg,法国,13.5千克,NULL,NULL,"
PGM公司以生产运动步枪而闻名于世，PGM赫式忒Ⅱ步枪是法国军队的现役重型狙击步枪，20世纪80年代末，该公司研制了一系列狙击步枪，被法国和其他欧洲国家的警察部队广泛使用。“赫式忒”步枪是Intervention阻击步枪的放大型，它采用传统的枪机回转后拉式。木制枪托和腮垫在搬运时可以拆下，下面有一只撑架，机匣下安装了两脚架和手枪握把。枪口制退器可很大程度上减少后坐力，也可将其更换为消声器。该枪装备法国陆军，在比利时称为FNEHRSTAL。
",NULL,12.7毫米,7发,1380毫米
德国赫克勒-科赫有限公司,1987年,狙击枪,赫克勒-科赫MSG90自动步枪,枪械与单兵,1000米,NULL,{'$oid': '5cc9323d831b973d657f19f5'},NULL,德国,6.4千克,NULL,NULL,"
德国MSG90自动步枪，简称MSG-90，是一款军用狙击步枪，实际上是一种质量更轻、价格更低的PSG-1，是PSG-1的升级版本，更加适合移动作战。MSG90的基本结构与PSG-1相同，但使用了加厚的重型枪管，所以全枪重量比较大。该枪是德国赫克勒－科赫有限公司按军用标准设计、于1987年推出的，目前正在生产。
",NULL,7.62毫米,20发,1165毫米
匈牙利杰帕德公司,1994年,狙击枪,杰帕德M2／M2A1自动步枪,枪械与单兵,2000米,123,{'$oid': '5cc9323d831b973d657f19f6'},http://images.huanqiu.com/sarons/2013/08/433c17db17b5fdbc4c4c72c10a3c80d0.jpg,匈牙利,12千克,NULL,NULL,"
杰帕德（Gepard）是由匈牙利研制的一系列大口径重型狙击步枪。这里所提到的杰帕德M2步枪外形和M1类似，但它是一款采用长后坐系统的半自动步枪。M2A1是M2的短枪管型，旨在装备需要更紧凑武器的空降兵和特种部队。
",半自动步枪,12.7毫米,10发,1570毫米
比利时国营赫斯塔尔公司,1978年-1986年,狙击枪,FN 30-11狙击步枪,枪械与单兵,600米,NULL,{'$oid': '5cc9323d831b973d657f19f7'},http://images.huanqiu.com/sarons/2013/07/10d999a2a57e52405ddebc63facda1dd.jpg,比利时,4.9千克,NULL,NULL,NULL,非自动枪支,7.62毫米,10发,1117毫米
德国赫克勒-科赫公司（HK）, 1975年,狙击枪,赫克勒-科赫PSG -1自动步枪,枪械与单兵,1000米,NULL,{'$oid': '5cc9323d831b973d657f19f8'},http://images.huanqiu.com/sarons/2013/08/05dabebc1ae8403e079185715337ca85.jpg,德国,8.1千克,NULL,NULL,赫克勒-科赫PSG-1是德国在G3系列突击步枪的基础上，以同时对付多名恐怖分子为目的而改进设计的狙击步枪，它号称是全世界最准确的半自动步枪，同时也是最昂贵的枪。,半自动步枪,7.62毫米,20发,1208毫米
以色列军事工业（IMI）,1999年,狙击枪,SR-99狙击步枪,枪械与单兵,800米,NULL,{'$oid': '5cc9323d831b973d657f19f9'},http://images.huanqiu.com/sarons/2013/08/cd44f9ac6903b0ea699d4de48406da6d.jpg,以色列,5.1千克,NULL,NULL,"
新式半自动狙击步枪SR-99由以色列军事工业公司(IMI)在2000年11月23日公诸于众。该步枪设计以狙击兵战斗环境的独特操作需求为中心，能够迅速进入到开火装置，具有瞄准连续开火能力。
",半自动步枪,7.62毫米,25发,1120毫米
匈牙利杰帕徳公司,1995年,狙击枪,杰帕德M3自动步枪,枪械与单兵,914米,NULL,{'$oid': '5cc9323d831b973d657f19fa'},NULL,匈牙利,20千克,NULL,NULL,杰帕德M3自动步枪是杰帕德M2的增大型，但增加了液压气动后坐缓冲系统和更有效的膛口制退器以吸收部分射击振动。,自动步枪,14.5毫米,10发,1880毫米
施泰尔-曼利夏有限公司,1969年,狙击枪,斯太尔-曼利夏SSG-69狙击步枪,枪械与单兵,800米,NULL,{'$oid': '5cc9323d831b973d657f19fb'},http://images.huanqiu.com/sarons/2013/08/0c20fd6519c98c9c3c75a906c04f4d2d.jpg,奥地利,4.6千克,NULL,NULL,NULL,非自动枪支,7.62毫米,5发,1140毫米
法国国营圣·艾蒂安武器制造厂,1966年-1980年（F1）；1984年-（F2）,狙击枪,吉亚特FR-F1／FR-F2步枪,枪械与单兵,800米,NULL,{'$oid': '5cc9323e831b973d657f19fc'},http://images.huanqiu.com/sarons/2013/07/0b0ca9dc4c5c33a1b7bec51b50928364.jpg,法国,5.2千克,NULL,NULL,NULL,NULL,7.62毫米,10发,1138毫米
NULL,1989年-2002年,狙击枪,西格-绍尔SSG-2000步枪,枪械与单兵,1000米,NULL,{'$oid': '5cc9323e831b973d657f19fd'},NULL,瑞士,6.6千克,NULL,NULL,"
SSG2000是一款高端的军、警用狙击步枪，它以SAUERM80/90型运动步枪作为基础，加装了更为厚重的枪管、枪口制退器以及狙击用的特制枪托而成。该枪采用与众不同的枪机系统：转动拉机柄时，拉机柄前方的凸起在凸轮的作用下向外运动，并卡进机匣的凹槽中，导致枪栓无法转动。进入待击状态后，扳机被推向前，只需轻轻触碰就可射击。该枪被设计成比赛用枪和执法用狙击枪，没有机械瞄具，必须装备瞄准镜。除7.62毫米口径枪弹外，该枪还可使用5.56×45毫米和7.5×55毫米军用枪弹和0.3英寸马格努姆枪弹。
",NULL,7.62毫米,4发,1210毫米
西格公司,1995年-2002年,狙击枪,SSG 550狙击手自动步枪,枪械与单兵,1500米,NULL,{'$oid': '5cc9323e831b973d657f19fe'},NULL,瑞士,7.3千克,NULL,NULL,"
SSG550是在SG550标准型的基础上改进而成的，它采用锤锻重型枪管，只能进行半自动射击。单连发扳机、枪托底部长度和贴腮板可调。根据需要也可调整手枪握把，以便安装扶手。装有两脚架，瞄准镜位置可调以适应射手面部贴近贴腮板时的瞄准动作。顶部可安装拖拉式透光板，以防枪管发烫形成的热气流影响瞄准。该枪的设计充分考虑了狙击手的人机功效。
",自动步枪,5.56毫米,30发,1130毫米
伯莱塔公司,1985年,狙击枪,伯莱塔狙击步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9323e831b973d657f19ff'},NULL,意大利,5.6千克,NULL,NULL,"
伯莱塔M501狙击步枪，也称伯莱塔狙击步枪（Beretta sniper rifle）和意大利伯莱塔 7.62毫米 狙击步枪（Beretta 7.62mm Sniping Rifle），是意大利伯莱塔公司于80年代研制成功的新型狙击步枪，发射北约7.62毫米标准枪弹，用于在较远距离上消灭单个重要有生目标。该枪装备意大利军警部队，目前已不再生产。
",非自动步枪,7.62毫米,5发,1165毫米
SIG Arms（现在是西格&绍尔）,1991年-2002年,狙击枪,西格-绍尔SSG-3000狙击步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9323e831b973d657f1a00'},NULL,瑞士,5.4千克,NULL,NULL,NULL,NULL,7.62毫米,5发,1180毫米
杰帕德公司,1992年,狙击枪,杰帕德M1／M1A1步枪,枪械与单兵,1000米,NULL,{'$oid': '5cc9323e831b973d657f1a01'},http://images.huanqiu.com/sarons/2013/08/ea64c1a838663342a37498a56e726b4a.jpg,匈牙利,19千克,NULL,NULL,NULL,非自动步枪,12.7毫米,20发,1570毫米
KBP仪器设计厂,1996年至今,狙击枪,OSV-96狙击步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9323e831b973d657f1a02'},http://images.huanqiu.com/sarons/2013/08/4c15b8b2d3704f9ac204dc5a30b3c3f3.jpg,苏/俄,12.9千克,15发/分,1994年第一次车臣战争、1999年第二次车臣战争、2011年叙利亚内战 、2011年利比亚内战,NULL,半自动枪支,12.7毫米,5发,1746毫米
巴雷特军火公司,1983年-1992年,狙击枪,巴雷特Light Fifty M82A1狙击步枪,枪械与单兵,1850米,NULL,{'$oid': '5cc9323e831b973d657f1a03'},http://images.huanqiu.com/sarons/2013/08/f56f91f3e606783e59f4f7675e539ce3.jpg,美国,13.4千克,NULL,海湾战争爱尔兰冲突科索沃战争伊拉克战争阿富汗战争墨西哥毒品战争,NULL,自动步枪,12.7毫米,11发,1549毫米
英国精密国际,1999年,狙击枪,精确国际AW50F步枪,枪械与单兵,1500米,NULL,{'$oid': '5cc9323e831b973d657f1a04'},http://images.huanqiu.com/sarons/2013/08/2fa187e77ccf33de63dae2cd14755e0a.jpg,英国,13.6千克,NULL,驻东帝汶的联合国维和部队，2001年阿富汗战争，2003年伊拉克战争,"
（英语：Accuracy International Arctic Warfare 50 Folding）为英国精密国际设计的北极作战（英语：Arctic Warfare）系列的重型狙击步枪（反器材步枪），为AW50的折叠式枪托版（这也是精密国际AW的一种衍生型）。有多个武装力量将其用作反器材步枪，其中包括英国和澳大利亚军队。除更大、更重外，与类似的小口径步枪相比，AW50F还装备显眼的枪口制退器和可调整的折叠式枪托，以适合身高不同的人使用。枪托还包含一个依托架，让使用者长时间观察目标区域后也不会感到疲劳。机匣上方的导轨可安装光学瞄准镜和夜视瞄准镜。
",NULL,12.7毫米,5发,1350毫米
精准国际公司（Accuracy International）,1985年至今,狙击枪,精确国际L96A1狙击步枪,枪械与单兵,800米,NULL,{'$oid': '5cc9323f831b973d657f1a05'},http://images.huanqiu.com/sarons/2013/08/df1da66d791898f6fa8f94006d10bcc0.jpg,英国,6.5千克,NULL,NULL,NULL,NULL,7.62毫米,10发,1124毫米
未知,1990年,狙击枪,NM 149S狙击步枪,枪械与单兵,800米,NULL,{'$oid': '5cc9323f831b973d657f1a06'},NULL,挪威,5.6千克,NULL,NULL,"
NM 149S狙击步枪是一种适合冰天雪地使用的狙击步枪。它的组构件都有耐寒的性能。尤其是木制枪托表面又浸渍了层状的树脂，不冻手，且便于握持。
",非自动枪支,7.62毫米,5发,1120毫米
前苏联伊茨玛希机械厂,1963年至今,狙击枪,德拉格诺夫SVD狙击步枪,枪械与单兵,800米,NULL,{'$oid': '5cc9323f831b973d657f1a07'},http://images.huanqiu.com/sarons/2013/08/3358a3a772e84b8850f3f0fbf253b6f5.jpg,苏/俄,4.3千克,NULL,NULL,NULL,半自动枪支,7.62毫米,10发,1225毫米
南非托尼内奥皮图兵器设计公司,1995年至今,狙击枪,NTW20／14.5反器材步枪,枪械与单兵,2300米,NULL,{'$oid': '5cc9323f831b973d657f1a08'},http://images.huanqiu.com/sarons/2013/08/d281f23bf193b08eac56deb087f03b51.jpg,南非,32千克,NULL,NULL,NULL,NULL,14.5毫米,3发,2015毫米
英国帕克黑尔公司,1982年-1984年,狙击枪,帕克-黑尔M82步枪,枪械与单兵,800米,NULL,{'$oid': '5cc9323f831b973d657f1a09'},http://images.huanqiu.com/sarons/2013/08/e900736361f36fa750d33e7a644c571a.jpg,英国,4.8千克,NULL,2001年阿富汗战争,NULL,NULL,7.62毫米,4发,1162毫米
精准国际公司(Accuracy Intemational，英国，朴次茅斯),20世纪80年代,狙击枪,精准国际7.62毫米PM狙击步枪系统,枪械与单兵,800米,NULL,{'$oid': '5cc9323f831b973d657f1a0a'},http://images.huanqiu.com/sarons/2013/11/f7619cf4a0eeab4332a7548a71df751a.jpg,英国,6.5千克,NULL,NULL,NULL,NULL,7.62毫米,10发,1194毫米
